date,amount,category,type,note
2025-12-13 23:47:40,748000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2025-12-14 04:31:49,11146000.0,Tiền lương,Thu nhập,Lương kỳ 1
2025-12-14 05:46:36,21309000.0,Tiền lương,Thu nhập,Lương kỳ 1
2025-12-14 06:05:57,370000.0,Ăn uống,Chi tiêu,Ăn trưa
2025-12-14 12:20:11,175000.0,Di chuyển,Chi tiêu,Vé xe buýt
2025-12-14 18:06:16,180000.0,Ăn uống,Chi tiêu,Ăn sáng
2025-12-14 22:06:32,434000.0,Ăn uống,Chi tiêu,Ăn trưa
2025-12-14 23:32:26,739000.0,Khác,Chi tiêu,Quà tặng
2025-12-15 00:59:47,300000.0,Ăn uống,Chi tiêu,Ăn trưa
2025-12-15 02:49:34,182000.0,Ăn uống,Chi tiêu,Ăn tối
2025-12-15 03:21:57,190000.0,Khác,Chi tiêu,Quà tặng
2025-12-15 03:52:44,2710000.0,Tiền thuê,Chi tiêu,Internet
2025-12-15 04:42:22,350000.0,Ăn uống,Chi tiêu,Trà sữa
2025-12-15 09:31:13,340000.0,Ăn uống,Chi tiêu,Nhậu cuối tuần
2025-12-15 19:54:22,676000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2025-12-16 12:40:37,685000.0,Khác,Chi tiêu,Thuốc men
2025-12-16 17:45:53,906000.0,Giải trí,Chi tiêu,Xem phim
2025-12-16 21:45:47,2987000.0,Tiền thuê,Chi tiêu,Phí quản lý
2025-12-17 01:50:42,24496000.0,Tiền lương,Thu nhập,Lương tháng
2025-12-17 02:01:29,900000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2025-12-17 17:32:42,660000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2025-12-17 18:33:06,7067000.0,Thưởng,Thu nhập,Thưởng hiệu suất
2025-12-17 19:25:21,420000.0,Giải trí,Chi tiêu,Mua sắm
2025-12-18 01:00:39,4144000.0,Tiền thuê,Chi tiêu,Điện nước
2025-12-18 10:30:05,3642000.0,Tiền thuê,Chi tiêu,Điện nước
2025-12-18 13:34:02,503000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2025-12-18 16:57:15,192000.0,Di chuyển,Chi tiêu,Thay dầu
2025-12-19 01:19:38,2802000.0,Tiền thuê,Chi tiêu,Phí quản lý
2025-12-19 15:47:14,964000.0,Khác,Chi tiêu,Mua đồ lặt vặt
2025-12-19 17:03:04,163000.0,Ăn uống,Chi tiêu,Cà phê
2025-12-19 19:49:51,55000.0,Di chuyển,Chi tiêu,Vé xe buýt
2025-12-19 22:10:45,785000.0,Giải trí,Chi tiêu,Đồ chơi
2025-12-19 23:39:31,26000.0,Di chuyển,Chi tiêu,Bảo dưỡng xe
2025-12-20 03:06:18,2385000.0,Tiền thuê,Chi tiêu,Điện nước
2025-12-20 16:52:24,3830000.0,Tiền thuê,Chi tiêu,Internet
2025-12-20 23:57:57,127000.0,Khác,Chi tiêu,Khám bệnh
2025-12-21 03:28:40,185000.0,Ăn uống,Chi tiêu,Mua siêu thị
2025-12-21 07:11:44,135000.0,Di chuyển,Chi tiêu,Vé xe buýt
2025-12-21 11:34:29,634000.0,Giải trí,Chi tiêu,Game
2025-12-21 14:31:54,3771000.0,Tiền thuê,Chi tiêu,Phí quản lý
2025-12-21 16:53:21,170000.0,Di chuyển,Chi tiêu,Rửa xe
2025-12-21 17:07:55,372000.0,Ăn uống,Chi tiêu,Ăn sáng
2025-12-21 17:29:51,983000.0,Khác,Chi tiêu,Mua đồ linh tinh
2025-12-21 20:45:20,491000.0,Khác,Chi tiêu,Thuốc men
2025-12-21 22:55:12,122000.0,Di chuyển,Chi tiêu,Vé xe buýt
2025-12-21 23:34:38,143000.0,Giải trí,Chi tiêu,Du lịch
2025-12-22 07:57:21,76000.0,Khác,Chi tiêu,Khám bệnh
2025-12-22 12:01:03,4479000.0,Tiền thuê,Chi tiêu,Điện nước
2025-12-22 15:15:55,2085000.0,Tiền thuê,Chi tiêu,Phí quản lý
2025-12-22 18:23:20,62000.0,Khác,Chi tiêu,Mua đồ linh tinh
2025-12-22 19:25:34,41000.0,Ăn uống,Chi tiêu,Nhậu cuối tuần
2025-12-22 22:56:22,87000.0,Di chuyển,Chi tiêu,Vé xe buýt
2025-12-22 23:26:51,60000.0,Di chuyển,Chi tiêu,Phí gửi xe
2025-12-22 23:28:20,544000.0,Giải trí,Chi tiêu,Sách báo
2025-12-23 00:31:59,438000.0,Ăn uống,Chi tiêu,Ăn trưa
2025-12-23 01:31:15,902000.0,Giải trí,Chi tiêu,Mua sắm
2025-12-23 09:55:21,21007000.0,Tiền lương,Thu nhập,Lương kỳ 1
2025-12-23 12:38:48,11426000.0,Tiền lương,Thu nhập,Lương kỳ 2
2025-12-23 14:01:36,489000.0,Giải trí,Chi tiêu,Xem phim
2025-12-23 15:37:25,375000.0,Giải trí,Chi tiêu,Sách báo
2025-12-23 17:58:19,1234000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2025-12-24 03:41:12,72000.0,Ăn uống,Chi tiêu,Bữa phụ
2025-12-24 04:11:41,386000.0,Ăn uống,Chi tiêu,Bữa phụ
2025-12-24 04:46:57,77000.0,Ăn uống,Chi tiêu,Cà phê
2025-12-24 16:03:42,565000.0,Giải trí,Chi tiêu,Game
2025-12-24 17:47:53,858000.0,Khác,Chi tiêu,Thuốc men
2025-12-24 20:28:37,29000.0,Di chuyển,Chi tiêu,Grab/Gojek
2025-12-24 22:14:05,510000.0,Giải trí,Chi tiêu,Xem phim
2025-12-25 02:55:17,290000.0,Giải trí,Chi tiêu,Đồ chơi
2025-12-25 04:44:11,647000.0,Giải trí,Chi tiêu,Du lịch
2025-12-25 08:29:34,2398000.0,Tiền thuê,Chi tiêu,Điện nước
2025-12-25 10:28:20,1528000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2025-12-25 14:54:35,287000.0,Giải trí,Chi tiêu,Du lịch
2025-12-25 18:43:49,257000.0,Ăn uống,Chi tiêu,Cà phê
2025-12-25 22:24:32,292000.0,Ăn uống,Chi tiêu,Bữa phụ
2025-12-25 23:32:05,27008000.0,Tiền lương,Thu nhập,Lương làm thêm
2025-12-26 00:18:15,4651000.0,Tiền thuê,Chi tiêu,Điện nước
2025-12-26 01:19:21,42000.0,Di chuyển,Chi tiêu,Grab/Gojek
2025-12-26 03:36:07,4159000.0,Tiền thuê,Chi tiêu,Tiền phòng
2025-12-26 11:43:55,3624000.0,Tiền thuê,Chi tiêu,Điện nước
2025-12-26 18:53:02,405000.0,Ăn uống,Chi tiêu,Nhậu cuối tuần
2025-12-27 00:33:49,632000.0,Giải trí,Chi tiêu,Du lịch
2025-12-27 00:54:23,152000.0,Khác,Chi tiêu,Thuốc men
2025-12-27 08:49:17,1891000.0,Thưởng,Thu nhập,Thưởng dự án
2025-12-27 11:26:44,2586000.0,Tiền thuê,Chi tiêu,Internet
2025-12-27 13:12:14,4794000.0,Tiền thuê,Chi tiêu,Internet
2025-12-27 13:47:14,142000.0,Di chuyển,Chi tiêu,Vé xe buýt
2025-12-27 15:57:47,398000.0,Ăn uống,Chi tiêu,Nhậu cuối tuần
2025-12-27 19:47:37,11878000.0,Tiền lương,Thu nhập,Lương kỳ 2
2025-12-27 21:16:33,9969000.0,Thưởng,Thu nhập,Thưởng dự án
2025-12-28 00:37:20,1462000.0,Thưởng,Thu nhập,Thưởng hiệu suất
2025-12-28 02:36:45,9712000.0,Thưởng,Thu nhập,Thưởng dự án
2025-12-28 06:14:51,473000.0,Ăn uống,Chi tiêu,Nhậu cuối tuần
2025-12-28 06:17:14,2034000.0,Tiền thuê,Chi tiêu,Tiền phòng
2025-12-28 17:03:32,988000.0,Lãi tiết kiệm,Thu nhập,Cổ tức
2025-12-28 21:56:20,12607000.0,Tiền lương,Thu nhập,Lương làm thêm
2025-12-29 04:15:04,150000.0,Di chuyển,Chi tiêu,Đổ xăng
2025-12-29 21:12:41,507000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2025-12-29 22:47:54,4339000.0,Tiền thuê,Chi tiêu,Internet
2025-12-30 02:54:04,134000.0,Giải trí,Chi tiêu,Xem phim
2025-12-30 04:42:14,4819000.0,Tiền thuê,Chi tiêu,Điện nước
2025-12-30 04:55:51,758000.0,Khác,Chi tiêu,Phí ngân hàng
2025-12-30 05:04:28,123000.0,Di chuyển,Chi tiêu,Bảo dưỡng xe
2025-12-30 05:32:00,131000.0,Di chuyển,Chi tiêu,Grab/Gojek
2025-12-30 08:54:52,39000.0,Di chuyển,Chi tiêu,Rửa xe
2025-12-30 10:30:14,587000.0,Giải trí,Chi tiêu,Du lịch
2025-12-31 17:55:04,759000.0,Khác,Chi tiêu,Khám bệnh
2025-12-31 18:23:12,21162000.0,Tiền lương,Thu nhập,Lương kỳ 2
2025-12-31 19:06:49,144000.0,Di chuyển,Chi tiêu,Phí gửi xe
2025-12-31 20:04:46,893000.0,Khác,Chi tiêu,Quà tặng
2025-12-31 21:24:05,387000.0,Ăn uống,Chi tiêu,Trà sữa
2026-01-01 06:02:35,234000.0,Khác,Chi tiêu,Đồ gia dụng
2026-01-01 10:12:41,3563000.0,Tiền thuê,Chi tiêu,Phí quản lý
2026-01-01 11:00:49,4821000.0,Thưởng,Thu nhập,Thưởng hiệu suất
2026-01-01 15:22:26,426000.0,Khác,Chi tiêu,Khám bệnh
2026-01-01 16:48:27,1007000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2026-01-01 18:55:21,301000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-01-02 01:20:56,18726000.0,Tiền lương,Thu nhập,Lương kỳ 1
2026-01-02 02:15:57,30000.0,Di chuyển,Chi tiêu,Bảo dưỡng xe
2026-01-02 06:56:48,1394000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2026-01-02 08:26:39,751000.0,Khác,Chi tiêu,Phí ngân hàng
2026-01-02 09:41:22,201000.0,Ăn uống,Chi tiêu,Mua siêu thị
2026-01-02 15:21:01,7292000.0,Thưởng,Thu nhập,Thưởng hiệu suất
2026-01-02 15:45:13,29000.0,Di chuyển,Chi tiêu,Grab/Gojek
2026-01-03 06:17:59,2183000.0,Tiền thuê,Chi tiêu,Internet
2026-01-03 09:46:53,9162000.0,Thưởng,Thu nhập,Thưởng Tết
2026-01-03 11:59:32,20376000.0,Tiền lương,Thu nhập,Lương làm thêm
2026-01-03 12:15:17,484000.0,Khác,Chi tiêu,Thuốc men
2026-01-03 17:40:26,127000.0,Di chuyển,Chi tiêu,Đổ xăng
2026-01-03 19:07:15,932000.0,Khác,Chi tiêu,Khám bệnh
2026-01-03 20:56:49,126000.0,Giải trí,Chi tiêu,Xem phim
2026-01-04 02:49:21,957000.0,Khác,Chi tiêu,Quà tặng
2026-01-04 04:41:10,781000.0,Giải trí,Chi tiêu,Game
2026-01-04 11:02:02,794000.0,Khác,Chi tiêu,Cắt tóc
2026-01-04 11:17:05,1083000.0,Lãi tiết kiệm,Thu nhập,Cổ tức
2026-01-04 12:28:09,54000.0,Khác,Chi tiêu,Phí ngân hàng
2026-01-04 16:11:10,96000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-01-04 17:16:34,64000.0,Di chuyển,Chi tiêu,Bảo dưỡng xe
2026-01-04 22:52:04,546000.0,Giải trí,Chi tiêu,Xem phim
2026-01-04 23:36:47,715000.0,Khác,Chi tiêu,Đồ gia dụng
2026-01-05 03:15:32,4220000.0,Thưởng,Thu nhập,Thưởng hiệu suất
2026-01-05 04:28:00,1745000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2026-01-05 06:00:17,452000.0,Khác,Chi tiêu,Mua đồ linh tinh
2026-01-05 13:02:54,401000.0,Ăn uống,Chi tiêu,Bữa phụ
2026-01-05 14:03:55,2926000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-05 16:33:43,579000.0,Giải trí,Chi tiêu,Sách báo
2026-01-05 17:45:34,152000.0,Di chuyển,Chi tiêu,Rửa xe
2026-01-06 03:09:28,272000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2026-01-06 06:58:05,15708000.0,Tiền lương,Thu nhập,Lương tháng
2026-01-06 07:32:19,4849000.0,Tiền thuê,Chi tiêu,Phí quản lý
2026-01-06 07:36:21,359000.0,Khác,Chi tiêu,Thuốc men
2026-01-06 08:40:58,303000.0,Giải trí,Chi tiêu,Game
2026-01-06 08:45:32,11864000.0,Tiền lương,Thu nhập,Lương kỳ 1
2026-01-06 09:10:15,2954000.0,Tiền thuê,Chi tiêu,Internet
2026-01-06 12:28:02,80000.0,Di chuyển,Chi tiêu,Vé xe buýt
2026-01-06 23:45:55,194000.0,Di chuyển,Chi tiêu,Phí gửi xe
2026-01-07 04:48:21,194000.0,Giải trí,Chi tiêu,Du lịch
2026-01-07 06:29:47,96000.0,Di chuyển,Chi tiêu,Bảo dưỡng xe
2026-01-07 10:33:16,9279000.0,Thưởng,Thu nhập,Thưởng KPI
2026-01-07 11:20:31,97000.0,Ăn uống,Chi tiêu,Cà phê
2026-01-07 13:24:38,1064000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2026-01-08 05:55:13,28844000.0,Tiền lương,Thu nhập,Lương tháng
2026-01-08 08:52:51,1094000.0,Thưởng,Thu nhập,Thưởng hiệu suất
2026-01-08 17:18:10,487000.0,Ăn uống,Chi tiêu,Mua siêu thị
2026-01-08 19:15:18,27785000.0,Tiền lương,Thu nhập,Lương kỳ 1
2026-01-08 20:27:32,201000.0,Ăn uống,Chi tiêu,Bữa phụ
2026-01-09 01:44:13,159000.0,Di chuyển,Chi tiêu,Vé xe buýt
2026-01-09 07:52:58,369000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2026-01-09 07:58:58,906000.0,Khác,Chi tiêu,Thuốc men
2026-01-09 09:59:28,302000.0,Giải trí,Chi tiêu,Xem phim
2026-01-09 15:04:53,845000.0,Khác,Chi tiêu,Mua đồ linh tinh
2026-01-09 17:12:46,290000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-01-09 22:35:43,97000.0,Ăn uống,Chi tiêu,Ăn trưa
2026-01-10 05:42:31,737000.0,Khác,Chi tiêu,Mua đồ linh tinh
2026-01-10 13:22:05,955000.0,Giải trí,Chi tiêu,Đồ chơi
2026-01-10 13:48:34,500000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-01-10 15:50:15,3722000.0,Tiền thuê,Chi tiêu,Điện nước
2026-01-10 23:23:05,23276000.0,Tiền lương,Thu nhập,Lương kỳ 1
2026-01-11 06:26:39,534000.0,Giải trí,Chi tiêu,Xem phim
2026-01-11 12:54:24,2431000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-11 16:17:15,4080000.0,Tiền thuê,Chi tiêu,Phí quản lý
2026-01-11 23:22:18,841000.0,Khác,Chi tiêu,Khám bệnh
2026-01-12 00:15:19,23000.0,Di chuyển,Chi tiêu,Phí gửi xe
2026-01-12 02:14:37,46000.0,Di chuyển,Chi tiêu,Vé xe buýt
2026-01-12 06:49:24,112000.0,Di chuyển,Chi tiêu,Rửa xe
2026-01-12 09:46:47,879000.0,Khác,Chi tiêu,Mua đồ linh tinh
2026-01-12 11:34:46,365000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-01-12 22:31:45,65000.0,Di chuyển,Chi tiêu,Bảo dưỡng xe
2026-01-13 13:42:55,317000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-01-13 14:36:51,114000.0,Di chuyển,Chi tiêu,Grab/Gojek
2026-01-13 16:12:21,9242000.0,Thưởng,Thu nhập,Thưởng dự án
2026-01-13 16:37:58,66000.0,Di chuyển,Chi tiêu,Phí gửi xe
2026-01-13 16:40:28,414000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-01-13 20:30:10,367000.0,Giải trí,Chi tiêu,Đồ chơi
2026-01-13 20:36:58,21295000.0,Tiền lương,Thu nhập,Lương làm thêm
2026-01-13 20:41:27,23361000.0,Tiền lương,Thu nhập,Lương kỳ 1
2026-01-14 04:04:58,84000.0,Ăn uống,Chi tiêu,Trà sữa
2026-01-14 12:36:34,4191000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-14 13:01:45,315000.0,Giải trí,Chi tiêu,Sách báo
2026-01-14 13:32:12,171000.0,Di chuyển,Chi tiêu,Vé xe buýt
2026-01-14 16:37:24,487000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-01-14 17:14:30,1573000.0,Lãi tiết kiệm,Thu nhập,Cổ tức
2026-01-14 23:04:07,461000.0,Ăn uống,Chi tiêu,Cà phê
2026-01-15 08:13:09,6073000.0,Thưởng,Thu nhập,Thưởng KPI
2026-01-15 13:30:54,756000.0,Giải trí,Chi tiêu,Mua sắm
2026-01-15 15:08:25,453000.0,Giải trí,Chi tiêu,Sách báo
2026-01-16 01:12:39,456000.0,Ăn uống,Chi tiêu,Cà phê
2026-01-16 03:40:23,60000.0,Di chuyển,Chi tiêu,Grab/Gojek
2026-01-16 04:59:28,285000.0,Khác,Chi tiêu,Đồ gia dụng
2026-01-16 08:07:06,3493000.0,Tiền thuê,Chi tiêu,Internet
2026-01-16 11:09:39,178000.0,Di chuyển,Chi tiêu,Thay dầu
2026-01-16 11:18:45,4839000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-16 11:37:50,652000.0,Giải trí,Chi tiêu,Mua sắm
2026-01-16 19:20:40,1882000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2026-01-16 20:46:02,475000.0,Ăn uống,Chi tiêu,Bữa phụ
2026-01-16 20:46:27,45000.0,Ăn uống,Chi tiêu,Mua siêu thị
2026-01-17 01:37:35,17534000.0,Tiền lương,Thu nhập,Lương kỳ 1
2026-01-17 05:34:04,2201000.0,Tiền thuê,Chi tiêu,Điện nước
2026-01-17 10:35:36,477000.0,Ăn uống,Chi tiêu,Trà sữa
2026-01-17 13:17:35,479000.0,Khác,Chi tiêu,Đồ gia dụng
2026-01-17 14:30:19,87000.0,Ăn uống,Chi tiêu,Mua siêu thị
2026-01-17 16:34:45,2654000.0,Tiền thuê,Chi tiêu,Điện nước
2026-01-17 17:06:44,258000.0,Ăn uống,Chi tiêu,Trà sữa
2026-01-18 00:42:29,89000.0,Ăn uống,Chi tiêu,Trà sữa
2026-01-18 01:46:50,781000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-01-18 01:55:02,824000.0,Giải trí,Chi tiêu,Đồ chơi
2026-01-18 09:23:51,165000.0,Giải trí,Chi tiêu,Sách báo
2026-01-18 10:52:15,374000.0,Khác,Chi tiêu,Mua đồ linh tinh
2026-01-18 12:26:24,786000.0,Khác,Chi tiêu,Đồ gia dụng
2026-01-18 22:51:07,993000.0,Giải trí,Chi tiêu,Du lịch
2026-01-19 00:44:03,1595000.0,Lãi tiết kiệm,Thu nhập,Lãi tiết kiệm online
2026-01-19 01:19:46,4244000.0,Tiền thuê,Chi tiêu,Internet
2026-01-19 04:56:05,304000.0,Khác,Chi tiêu,Cắt tóc
2026-01-19 05:00:46,89000.0,Khác,Chi tiêu,Mua đồ lặt vặt
2026-01-19 07:21:20,1000000.0,Giải trí,Chi tiêu,Sách báo
2026-01-19 12:36:55,191000.0,Giải trí,Chi tiêu,Đồ chơi
2026-01-19 19:32:47,716000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2026-01-20 05:41:35,2736000.0,Tiền thuê,Chi tiêu,Tiền phòng
2026-01-20 05:54:38,401000.0,Khác,Chi tiêu,Mua đồ lặt vặt
2026-01-20 09:12:00,1497000.0,Lãi tiết kiệm,Thu nhập,Lãi suất ngân hàng
2026-01-20 09:24:50,260000.0,Giải trí,Chi tiêu,Đăng ký dịch vụ
2026-01-20 09:30:41,4235000.0,Tiền thuê,Chi tiêu,Phí quản lý
2026-01-20 10:12:03,15178000.0,Tiền lương,Thu nhập,Lương kỳ 1
2026-01-20 13:27:57,2220000.0,Tiền thuê,Chi tiêu,Điện nước
2026-01-20 20:02:04,53000.0,Giải trí,Chi tiêu,Sách báo
2026-01-20 20:50:21,882000.0,Giải trí,Chi tiêu,Xem phim
2026-01-21 06:46:55,177000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-01-21 12:59:18,954000.0,Khác,Chi tiêu,Mua đồ linh tinh
2026-01-21 15:20:36,4266000.0,Tiền thuê,Chi tiêu,Điện nước
2026-01-21 16:51:37,1396000.0,Lãi tiết kiệm,Thu nhập,Cổ tức
2026-01-21 18:42:27,448000.0,Ăn uống,Chi tiêu,Cà phê
2026-01-21 19:09:21,14453000.0,Tiền lương,Thu nhập,Lương kỳ 2
2026-01-21 19:14:40,9665000.0,Thưởng,Thu nhập,Thưởng Tết
2026-01-21 20:12:38,409000.0,Ăn uống,Chi tiêu,Mua siêu thị
2026-01-21 22:38:39,4160000.0,Tiền thuê,Chi tiêu,Phí quản lý
2026-01-22 01:04:16,114000.0,Di chuyển,Chi tiêu,Bảo dưỡng xe
2026-01-22 01:13:53,4560000.0,Tiền thuê,Chi tiêu,Internet
2026-01-22 07:17:42,874000.0,Giải trí,Chi tiêu,Du lịch
2026-01-22 12:48:21,2866000.0,Tiền thuê,Chi tiêu,Internet
2026-01-22 13:31:54,23439000.0,Tiền lương,Thu nhập,Lương làm thêm
2026-01-22 22:49:04,69000.0,Ăn uống,Chi tiêu,Ăn trưa
2026-01-23 05:18:47,916000.0,Khác,Chi tiêu,Thuốc men
2026-01-23 11:15:44,241000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-01-23 14:38:38,448000.0,Ăn uống,Chi tiêu,Cà phê
2026-01-23 15:16:30,1720000.0,Thưởng,Thu nhập,Thưởng hiệu suất
2026-01-23 23:10:20,727000.0,Lãi tiết kiệm,Thu nhập,Cổ tức
2026-01-24 06:01:10,497000.0,Khác,Chi tiêu,Mua đồ linh tinh
2026-01-24 06:38:38,469000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-01-24 07:11:21,132000.0,Ăn uống,Chi tiêu,Mua siêu thị
2026-01-24 14:57:40,423000.0,Giải trí,Chi tiêu,Sách báo
2026-01-24 21:23:45,134000.0,Ăn uống,Chi tiêu,Ăn sáng
2026-01-25 01:12:29,9984000.0,Thưởng,Thu nhập,Thưởng hiệu suất
2026-01-25 07:48:47,67000.0,Ăn uống,Chi tiêu,Trà sữa
